City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Pergamino,AR,-33.89,-60.5736,75.0,50,0,3.0,clear sky
324,Buala,SB,-8.145,159.5921,78.08,84,57,4.61,broken clouds
325,Pochutla,MX,15.7432,-96.4661,93.0,48,1,11.5,clear sky
326,Champerico,GT,14.3,-91.9167,86.0,58,75,4.61,broken clouds
327,Sur,OM,22.5667,59.5289,90.86,34,100,7.49,overcast clouds
328,Yuganets,RU,56.2508,43.2307,48.2,46,75,8.95,broken clouds
329,Lingao,CN,19.9103,109.6859,75.97,90,54,11.61,light rain
330,Mao,ES,39.8885,4.2658,64.4,77,20,5.75,few clouds
331,Peleduy,RU,59.6289,112.7406,10.51,96,19,3.89,few clouds
332,Antigonish,CA,45.6169,-61.9986,48.2,76,100,9.22,overcast clouds
333,Upernavik,GL,72.7868,-56.1549,31.01,83,73,14.27,broken clouds
334,Adrar,MR,20.5022,-10.0711,99.75,13,3,1.52,clear sky
335,Hanyang,CN,32.1371,105.5126,55.63,53,44,2.35,scattered clouds
336,Lagoa,PT,39.05,-27.9833,58.8,73,62,14.65,broken clouds
337,Beringovskiy,RU,63.05,179.3167,16.11,94,14,6.38,few clouds
338,Horta,PT,38.5333,-28.6333,66.2,59,40,14.97,scattered clouds
339,Naliya,IN,23.2667,68.8333,81.93,74,38,7.29,scattered clouds
340,Muisne,EC,0.6,-80.0333,78.8,94,75,5.75,light rain
341,Doha,QA,25.2867,51.5333,91.4,45,0,9.22,clear sky
342,Faxinal,BR,-24.0003,-51.3194,75.81,33,22,5.06,few clouds
343,Margate,GB,51.3813,1.3862,48.0,72,100,7.0,overcast clouds
